
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	27	51	73
1	5	29	51
2	3	27	50
3	90	113	135
4	5	28	50
5	3	26	50
6	3	27	49
7	5	28	50
8	5	29	51
9	5	29	50
10	3	26	48
11	5	26	50
12	3	27	49
13	3	27	49
14	5	29	51
15	4	28	50
16	5	29	51
17	3	27	49
18	5	29	51
19	5	29	51
20	10	34	56
21	5	28	50
22	3	27	49
23	5	29	51
24	3	27	49
25	5	29	51
26	3	27	48
27	4	28	50
28	5	28	50
29	5	29	51
30	3	27	50
31	3	27	51
32	5	29	50
33	5	26	50
34	3	26	48
35	87	111	133
36	3	26	48
37	5	27	51
38	5	27	51
39	14	38	60
40	4	28	50
41	3	27	49
42	3	27	50
43	3	27	49
44	3	114	136
45	5	27	51
46	5	27	51
47	3	27	49
48	5	29	50
49	5	29	50
50	3	27	49
51	3	26	48
52	3	27	51
53	3	26	48
54	3	27	48
55	5	27	51
56	4	28	50
57	4	28	50
58	5	27	51
59	50	72	96
60	5	28	50
61	3	26	48
62	3	26	48
63	3	26	48
64	36	60	82
65	5	29	51
66	3	27	51
67	3	27	48
68	5	29	51
69	5	29	51
70	3	27	48
71	5	27	51
72	3	27	49
73	3	27	49
74	5	29	51
75	3	116	138
76	5	28	50
77	78	102	124
78	5	29	51
79	3	27	49
80	3	27	49
81	5	29	51
82	3	27	51
83	58	81	103
84	5	29	50
85	4	28	50
86	5	29	51
87	3	26	48
88	3	27	51
89	3	26	50
90	3	27	49
91	5	29	51
92	3	27	49
93	5	29	51
94	5	29	51
95	5	29	51
96	5	29	51
97	5	29	51
98	5	29	51
99	3	27	49
100	5	28	50
101	3	27	50
102	5	28	138
103	4	28	50
104	3	27	49
105	3	26	48
106	5	29	51
107	5	29	51
108	5	29	51
109	3	27	48
110	3	27	51
111	5	29	50
112	5	29	51
113	3	26	48
114	4	28	50
115	5	28	50
116	3	26	48
117	5	29	51
118	5	27	50
119	3	27	50
120	5	29	51
121	5	29	51
122	3	26	48
123	5	29	51
124	4	116	138
125	5	29	51
126	5	29	51
127	5	29	51
128	5	27	50
129	5	29	50
130	5	28	50
131	3	27	49
132	5	29	50
133	3	27	48
134	3	26	48
135	3	27	49
136	5	29	51
137	5	29	51
138	3	26	48
139	5	27	50
140	5	29	51
141	3	27	49
142	3	27	49
143	3	26	50
144	59	83	105
145	3	27	51
146	5	29	51
147	5	28	50
148	3	27	50
149	69	93	115
150	5	29	51
151	5	27	50
152	3	27	51
153	5	28	50
154	4	26	50
155	5	29	50
156	4	28	50
157	3	27	49
158	3	26	50
159	3	27	49
160	5	29	50
161	50	74	96
162	5	28	50
163	5	29	51
164	3	26	48
165	5	28	50
166	5	29	50
167	3	27	49
168	4	28	50
