
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	104	128	249
1	43	68	23
2	43	68	23
3	22	46	171
4	45	69	24
5	64	89	44
6	164	22	145
7	43	68	23
8	21	45	239
9	76	100	221
10	21	45	166
11	45	68	23
12	43	68	23
13	22	46	167
14	43	69	24
15	234	22	214
16	22	45	167
17	164	22	145
18	164	22	145
19	204	22	184
20	43	68	23
21	164	22	145
22	45	69	24
23	22	46	167
24	164	21	145
25	45	69	24
26	45	68	23
27	165	22	145
28	45	69	24
29	166	22	147
30	164	21	144
31	164	22	145
32	45	69	24
33	43	68	23
34	125	149	104
35	45	69	24
36	43	68	23
37	22	46	167
38	43	69	24
39	43	69	24
40	165	22	145
41	164	22	145
42	45	69	24
43	22	45	167
44	164	22	145
45	165	22	145
46	164	21	145
47	22	46	167
48	43	68	23
49	61	87	206
50	22	45	167
51	164	22	145
52	22	45	167
53	21	43	166
54	43	69	24
55	165	22	145
56	164	22	145
57	164	21	145
58	43	69	24
59	258	22	145
60	165	22	145
61	164	21	145
62	43	68	23
63	43	69	24
64	164	22	145
65	45	69	24
66	22	46	167
67	22	43	168
68	164	22	145
69	22	45	167
70	222	22	203
71	43	69	24
72	22	45	167
73	164	22	145
74	21	45	166
75	165	22	145
76	245	21	225
77	45	69	24
78	43	69	24
79	76	100	221
80	136	160	23
81	25	49	170
82	71	95	50
83	220	22	201
84	43	69	24
85	21	45	166
86	137	161	24
87	199	57	180
88	164	22	145
89	45	69	24
90	164	21	145
91	22	139	260
92	22	46	167
93	22	46	167
94	45	69	24
95	22	45	167
96	21	47	166
97	22	45	169
98	258	22	145
99	214	22	190
100	43	69	24
101	58	82	203
102	61	86	206
103	164	21	144
104	165	22	145
105	164	21	144
106	164	22	145
107	164	21	145
108	211	22	205
109	43	68	23
110	22	46	167
111	44	68	23
112	43	68	23
113	164	22	145
114	43	68	23
115	22	136	255
116	45	68	23
117	165	22	145
118	43	69	24
119	122	145	100
120	111	135	256
121	45	69	24
122	164	22	145
123	164	22	145
124	164	21	145
125	21	45	166
126	22	46	167
127	22	46	167
128	45	68	23
129	22	46	167
130	164	22	145
131	45	69	24
132	78	104	57
133	22	45	167
134	47	69	24
135	164	22	145
136	243	101	224
137	164	21	144
138	22	46	167
139	164	22	145
140	43	69	24
141	43	69	24
142	21	45	166
143	22	45	167
144	164	21	145
145	45	69	24
146	164	22	145
147	45	68	23
148	21	45	166
149	43	69	24
150	21	45	166
151	22	45	167
152	88	111	233
153	21	45	166
154	45	69	24
155	45	69	24
156	88	112	67
157	45	69	24
158	43	69	24
159	164	22	145
160	164	21	144
161	45	69	24
162	164	21	144
163	164	21	144
164	48	70	24
