
Reaction test v3
type	A
number	10

max value	65536
unit	us

test	A
0	11
1	11
2	11
3	11
4	10
5	11
6	11
7	10
8	11
9	11

Reaction test v3
type	A+B+C
number	10

max value	65536
unit	us

test	A	B	C
0	11	36	62
1	11	36	62
2	11	36	62
3	10	36	61
4	11	36	62
5	10	36	62
6	10	36	62
7	11	37	62
8	11	37	62
9	11	36	62

Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	10	36	61
1	10	36	61
2	11	36	62
3	10	36	61
4	10	36	61
5	11	37	62
6	10	36	61
7	11	36	62
8	11	36	62
9	11	35	62
10	11	37	62
11	11	37	62
12	11	36	62
13	10	36	62
14	11	34	62
15	11	37	62
16	10	36	62
17	11	36	62
18	11	36	62
19	10	36	62
20	10	36	62
21	11	36	62
22	11	37	62
23	11	36	62
24	11	34	62
25	11	36	62
26	10	36	62
27	11	37	62
28	10	36	61
29	10	36	62
30	11	36	62
31	11	36	62
32	11	37	62
33	11	36	62
34	10	36	62
35	10	36	62
36	10	36	62
37	11	36	62
38	11	37	62
39	11	36	62
40	10	36	62
41	11	36	62
42	11	36	62
43	10	36	61
44	10	36	62
45	10	36	62
46	11	36	62
47	10	36	62
48	11	36	62
49	10	36	62
50	11	37	62
51	10	36	62
52	11	36	62
53	10	36	62
54	10	36	61
55	10	36	61
56	11	36	62
57	11	36	62
58	10	36	62
59	10	36	61
60	10	36	61
61	11	36	62
62	11	37	62
63	11	36	62
64	10	36	61
65	10	36	61
66	11	37	62
67	11	36	62
68	11	37	62
69	10	36	62
70	11	36	62
71	11	37	62
72	10	36	61
73	10	36	61
74	11	36	62
75	10	36	61
76	10	36	62
77	10	36	61
78	10	34	62
79	10	36	61
80	11	36	62
81	11	37	62
82	10	36	61
83	11	36	62
84	10	36	62
85	10	36	61
86	10	34	61
87	10	36	62
88	11	37	62
89	10	36	61
90	10	36	62
91	10	36	62
92	11	36	62
93	10	36	62
94	11	36	62
95	10	36	62
96	12	36	61
97	10	34	61
98	11	34	62
99	10	36	61
100	11	36	62
101	11	36	62
102	10	36	61
103	11	36	62
104	10	36	62
105	11	37	62
106	11	36	62
107	10	36	61
108	10	36	61
109	11	36	62
110	10	36	61
111	11	35	62
112	11	37	62
113	10	36	61
114	10	36	61
115	11	36	62
116	10	36	62
117	11	37	62
118	11	36	62
119	10	36	62
120	10	36	61
121	10	36	61
122	10	36	62
123	10	36	61
124	10	36	61
125	11	36	62
126	11	36	62
127	11	36	62
128	11	36	62
129	10	36	62
130	10	36	62
131	10	36	61
132	11	36	62
133	10	34	62
134	10	36	62
135	11	36	62
136	11	36	62
137	10	36	62
138	10	36	62
139	11	37	62
140	11	36	62
141	11	37	62
142	10	36	61
143	10	36	62
144	10	36	61
145	10	36	61
146	10	36	62
147	11	36	62
148	10	36	61
149	10	36	62
150	10	34	62
151	10	36	62
152	10	36	61
153	11	36	62
154	10	36	62
155	11	37	62
156	11	37	62
157	10	36	61
158	11	37	62
159	10	36	62
160	11	36	62
161	11	34	62
162	11	36	62
163	10	36	62
164	10	36	62
165	10	36	61
166	11	36	62
167	10	36	62
168	10	36	62
169	10	36	61
170	10	36	62
171	11	36	62
172	10	36	62
173	10	36	61
174	11	36	62
175	10	36	62
176	11	36	62
177	10	36	62
178	10	36	62
179	11	36	62
180	10	36	61
181	11	36	62
182	11	36	62
183	10	36	62
184	11	36	62
185	11	36	62
186	10	36	62
187	11	36	62
188	11	37	62
189	10	36	62
190	11	37	62
191	11	34	62
192	11	37	62
193	10	36	61
194	10	36	62
195	10	36	61
196	10	36	61
197	11	36	62
198	10	36	61
199	10	34	61
200	11	36	62
201	11	36	62
202	11	36	62
203	11	37	62
204	10	36	62
205	10	36	61
206	11	34	62
207	10	36	61
208	11	36	62
209	11	37	62
210	10	36	61
211	10	36	61
212	11	35	62
213	11	36	62
214	10	36	61
