
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	65	21	45
1	22	43	69
2	22	45	67
3	69	22	45
4	43	69	24
5	72	95	50
6	67	22	46
7	114	139	161
8	22	43	69
9	22	46	69
10	67	22	45
11	67	22	46
12	41	64	86
13	43	69	24
14	67	22	45
15	43	69	24
16	21	45	67
17	43	163	24
18	22	46	67
19	45	69	24
20	22	46	68
21	22	46	67
22	66	21	47
23	47	69	24
24	21	45	67
25	67	22	46
26	22	45	67
27	65	21	45
28	21	45	69
29	43	69	24
30	43	68	23
31	43	69	24
32	22	46	68
33	45	69	24
34	43	68	23
35	33	59	81
36	45	68	23
37	67	22	46
38	43	68	23
39	43	69	24
40	67	22	46
41	43	69	24
42	66	21	45
43	22	46	67
44	65	22	46
45	137	161	116
46	22	46	68
47	67	22	46
48	47	69	43
49	21	45	67
50	43	68	23
51	21	45	67
52	21	45	67
53	21	45	69
54	43	69	24
55	22	43	69
56	43	69	24
57	67	22	46
58	67	22	46
59	91	46	71
60	101	125	80
61	67	22	46
62	67	22	45
63	22	46	67
64	65	22	45
65	21	45	67
66	45	69	24
67	45	69	24
68	67	22	46
69	21	43	68
70	67	22	46
71	43	69	24
72	22	45	69
73	34	58	80
74	70	22	46
75	65	22	45
76	22	46	67
77	65	22	45
78	45	68	23
79	67	22	46
80	76	97	123
81	65	22	46
82	67	22	45
83	133	158	113
84	133	88	113
85	66	21	45
86	45	68	23
87	21	45	67
88	45	68	23
89	66	21	45
90	22	46	67
91	43	69	24
92	22	46	68
93	22	45	67
94	65	22	45
95	22	45	67
96	65	22	46
97	45	69	24
98	45	68	23
99	43	69	24
100	69	22	45
101	22	46	68
102	43	68	23
103	113	139	161
104	22	46	69
105	99	125	80
106	21	45	67
107	45	68	23
108	22	46	68
109	70	22	46
110	21	47	69
111	22	46	68
112	66	21	45
113	112	138	93
114	22	46	70
115	137	161	116
116	45	69	24
117	43	69	24
118	22	46	68
119	44	68	23
120	78	35	59
121	22	46	68
122	45	69	24
123	22	46	68
124	43	69	24
125	22	45	67
126	151	108	131
127	22	46	69
128	43	69	24
129	43	69	24
130	67	22	46
131	45	68	23
132	88	43	67
133	22	46	68
134	22	46	68
135	43	68	23
136	45	68	23
137	110	134	89
138	22	45	67
139	45	69	24
140	159	114	139
141	43	69	24
142	83	108	63
143	67	22	46
144	22	46	68
145	109	134	89
146	43	69	24
147	43	69	24
148	65	22	46
149	67	22	46
150	66	21	45
151	22	46	68
152	45	69	24
153	67	22	46
154	43	69	24
155	22	45	67
156	66	21	47
157	22	46	67
158	67	22	45
159	67	22	46
160	66	21	45
161	45	69	24
162	108	132	87
163	43	69	24
164	21	45	67
165	69	21	45
166	45	69	24
167	21	45	67
168	159	22	46
169	43	68	23
170	65	22	46
171	43	69	24
172	43	69	24
173	43	69	24
174	44	68	23
175	67	22	46
176	22	46	70
177	37	62	84
178	66	21	45
179	45	69	24
180	21	45	67
181	65	22	46
182	65	22	45
183	151	108	132
184	22	45	67
185	21	45	69
186	66	21	45
187	45	69	24
188	22	139	161
189	67	22	46
190	22	46	68
191	21	45	67
192	45	68	23
193	45	69	24
194	65	21	45
195	67	22	46
196	44	68	23
197	64	21	45
198	22	46	69
199	65	22	45
200	22	46	70
201	21	45	67
202	65	22	46
203	43	68	23
204	45	69	24
205	67	22	46
206	65	22	45
207	106	61	87
208	69	21	45
209	43	69	24
210	43	69	24
211	22	45	69
212	67	22	45
213	45	69	24
214	22	45	69
215	21	45	67
216	43	69	24
217	45	68	23
218	69	22	46
219	43	69	24
220	44	68	23
221	22	45	67
222	22	45	69
223	64	21	45
224	58	84	39
225	22	45	67
226	43	69	24
227	65	22	46
228	67	22	47
229	43	68	23
230	66	21	45
231	67	22	45
232	21	45	67
233	45	68	23
234	87	44	68
235	22	46	67
236	45	68	23
237	22	46	68
238	65	22	45
239	43	69	24
240	22	46	68
241	22	46	68
242	44	68	23
243	43	68	23
244	48	69	95
245	45	69	24
246	22	46	70
247	105	130	85
248	67	22	46
249	43	162	23
250	67	22	45
251	134	158	113
252	43	68	23
253	22	46	69
254	102	126	148
255	69	22	45
256	22	47	69
257	67	22	46
258	22	46	68
259	45	69	24
260	45	69	24
261	22	45	69
262	22	43	161
263	22	46	67
264	22	46	161
265	69	22	45
266	22	46	68
267	44	68	23
268	48	72	94
269	109	133	88
270	66	21	45
271	67	22	45
272	67	22	45
273	21	43	68
274	67	22	46
275	45	68	23
276	65	22	45
277	45	69	24
278	67	22	46
279	65	22	46
280	21	45	67
281	44	68	23
282	22	139	163
283	22	46	68
284	69	22	46
285	67	22	46
286	67	22	46
287	65	22	45
288	67	22	45
289	43	69	24
290	65	22	45
291	76	100	55
292	67	22	46
293	138	95	119
294	45	69	24
295	22	46	70
296	67	22	47
297	45	69	24
298	66	21	45
299	22	46	68
300	132	87	113
301	67	22	46
302	66	21	45
303	22	45	67
304	48	70	24
305	43	69	24
306	22	46	70
307	22	46	68
308	21	45	67
309	22	46	68
310	155	110	135
311	22	45	67
312	22	45	67
313	43	69	24
314	21	43	68
315	22	46	67
316	22	45	67
317	65	21	45
318	43	69	24
319	21	45	67
320	22	45	67
321	22	46	70
322	22	45	67
323	45	69	24
324	114	140	162
325	67	22	45
326	22	46	68
327	67	22	47
328	45	69	24
329	67	22	46
330	69	21	45
331	66	21	47
332	159	22	139
333	159	22	140
